Ref,Qty,Description,Manufacturer,MPN,Package,Notes
U1,1,"ESP32-S3 Wi-Fi/BLE module, 8MB flash",Espressif,ESP32-S3-WROOM-1-N8,ESP32-S3-WROOM-1,Onboard PCB antenna
U2,1,3.3V 600mA LDO,Diodes Inc.,AP2112K-3.3TRG1,SOT-23-5,Powers ESP32-S3 from USB 5V
U3,1,Single AHCT buffer / level shifter,Texas Instruments,SN74AHCT1G125DBVR,SOT-23-5,3.3V GPIO to 5V WS2812 data
U4,1,USB 2.0 ESD protection array,STMicroelectronics,USBLC6-2SC6,SOT-23-6,Protects D+/D-
J1,1,USB Type-C 2.0 receptacle,GCT,USB4105-GF-A-120,USB-C 16P,Side entry; VBUS/GND rated for high current
J2,1,3-pin LED output connector,JST,B3B-XH-A(LF)(SN),JST-XH-3 TH,Pin1=5V Pin2=DATA Pin3=GND
J3,1,4-pin Qwiic/STEMMA QT optional expansion,JST,BM04B-SRSS-TB(LF)(SN),JST-SH-4 SMT,3V3/GND/SDA/SCL
F1,1,3A resettable fuse,Littelfuse,1206L300/12WR,1206,Protects USB 5V/LED rail
"R1,R2",2,5.1k USB-C CC pull-down,Yageo,RC0603FR-075K1L,0603,CC1/CC2 Rd
"R3,R4",2,22 ohm USB series resistor,Yageo,RC0603FR-0722RL,0603,USB D-/D+
R5,1,10k EN pull-up,Yageo,RC0603FR-0710KL,0603,ESP EN
R6,1,10k BOOT pull-up,Yageo,RC0603FR-0710KL,0603,GPIO0
R7,1,330 ohm LED data series resistor,Yageo,RC0603FR-07330RL,0603,Between U3 output and J2 DATA
R8,1,1k status LED resistor,Yageo,RC0603FR-071KL,0603,GPIO48 status LED
"C1,C2,C3,C5",4,0.1uF ceramic capacitor,Murata,GRM188R71C104KA01D,0603,Local decoupling
C4,1,10uF 10V ceramic capacitor,Murata,GRM21BR61A106KE19L,0805,LDO input/output bulk
C6,1,1uF ceramic capacitor,Murata,GRM188R61A105KA61D,0603,EN RC delay
C7,1,1000uF 10V low-ESR electrolytic,Panasonic,EEE-FK1A102AQ,SMD 10x10.2mm,LED rail bulk capacitor
D1,1,Green status LED,Lite-On,LTST-C190KGKT,0603,GPIO48
SW1,1,RESET tactile switch,Panasonic,EVQ-P7A01P,SMD Tact,EN to GND
SW2,1,BOOT tactile switch,Panasonic,EVQ-P7A01P,SMD Tact,GPIO0 to GND
