Designator,Mid X (mm),Mid Y (mm),Layer,Rotation
J1,2.000,11.000,Top,90
F1,11.000,17.000,Top,0
U4,15.000,11.000,Top,0
U2,22.000,16.000,Top,0
U3,33.000,14.000,Top,0
C7,44.000,11.000,Top,0
J2,51.000,3.000,Top,0
J3,29.000,3.000,Top,0
SW1,57.000,3.000,Top,0
SW2,63.000,3.000,Top,0
D1,39.000,3.000,Top,0
U1,67.000,11.000,Top,90
R1,8.500,9.500,Top,0
R2,8.500,12.500,Top,0
R3,18.000,10.200,Top,0
R4,18.000,11.800,Top,0
R5,58.000,7.000,Top,0
R6,64.000,7.000,Top,0
R7,38.000,14.000,Top,0
R8,42.000,3.000,Top,0
C1,21.000,13.000,Top,0
C2,24.000,13.000,Top,0
C3,31.000,11.000,Top,0
C4,25.000,16.000,Top,0
C5,64.000,16.500,Top,0
C6,59.500,7.000,Top,0
